rules\CVE-2012-0158.yar
*syntax Error*
rules\detect_generic_maliciousness_BROAD_SCAN.yar
*syntax Error*
rules\detect_obfuscation.yar
*syntax Error*
rules\detect_phpmailer.yar
No Detect
rules\detect_small_malicios.yar
*syntax Error*
rules\detect_small_uploader.yar
No Detect
rules\detect_webshell.yar
*unicode decode error*
rules\sql_inject_file_upload.yar
No Detect
rules\test.yar
Detect num :  158
Detect :  {'data': 'cmd', 'offset': 597054, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 597393, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 597503, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 597842, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 597952, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 598426, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 598536, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 598875, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 598985, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 599325, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 599435, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 599916, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 600026, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 600358, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 600468, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 600793, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 600903, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 601232, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 601342, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 601697, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 601807, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 602161, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 602271, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 602602, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 602708, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 603034, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 603144, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 603470, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 603576, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 603904, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 604010, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 604351, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 604461, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 605141, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 605243, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 605586, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 605688, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 606021, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 606123, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 612460, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'Cmd', 'offset': 620718, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'Cmd', 'offset': 620734, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 620750, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'CMD', 'offset': 620782, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'Cmd', 'offset': 620805, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 620821, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'Cmd', 'offset': 620970, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 620999, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'Cmd', 'offset': 621024, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 621044, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 621440, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 621525, 'identifier': '$a', 'flags': 27}
Detect :  {'data': 'cmd', 'offset': 621577, 'identifier': '$a', 'flags': 27}
rules\web_log_review.yar
*syntax Error*
rules\web_shells.yar
*syntax Error*
rules\WShell_APT_Laudanum.yar
*syntax Error*
rules\WShell_ASPXSpy.yar
No Detect
